Comment,Emotion
Yra toks žodi GLUŠAI.,Low
Ņu pizdiec iki ko nusirito valdzixmogiai.tokiu ir į Lietuvą nereik įsileisti.,Medium
Nevisprotės!,Low
Fu.....Slikštekai!!!!,Low
Ruskaja trojka...🤣🤣🤣,Low
"Nieko čia nuostabaus,ten jug Lietuvos pedofilų elito irštva.",Medium
Maldekiai iš vis šlikštinès,Low
"Kur mes rytames,seime pedofilai- gejai.😡",Medium
Vištos gina gaidzį 🐓🐔🐓🐔,Low
GAIDYNO KLANAS PALAIKO SAVO DIDVYRI GAIDELI,Low
"Mantukas galimai irgi gaidukas, jaunas vyras gyvena su mama, kažkaip kelia įtarimų.",Low
O siaube kokie šlykštynės,Low
Politiniai lavonai...,Low
Cia pedofilu klano remejai,Medium
Pedofikai lenda į dienos šviesa,Medium
pysuoklai,Low
Bukagalviu saika,Low
"Puse konservatoriu į laisvės partija turėtu pereiti, tai nors butu viena iškrypeliu partija. Dabar jau baisu bus reikalui esant ir i seima ieiti, nes nežinai už kurio kampo tave gali patvarkyt.",High
Išsigimeliu sekta.,Medium
Grybeliniai runkeliai baisus gyvenimas tų išgamu.,Low
Pedopatija,Medium
"Mums tikrai reikia prezidento, kuriam ekskomunisto sūnus yra „nekaltas“, o į premjerus prastūminėjama meluojanti populistė, kuri švaistė ministerijos biudžetą, o tada išbėgo į EP, jame agitavo už vienokias pozicijas, o Lietuvoj už kitokias. Būtent to Lietuvai ir reikia 👍. Pirmyn, „socdemai“ ❤️.",Critical
"Isverstskuriai,bet vis vien geriau,nei uz nesuprantama gyvi",Low
Ko tai senai mergai čia reikia ko ji ardos,Low
"Marksistai visi vagys,jū patronas algirdukas vsio zakono.",Medium
"Gėda komunistai,neturi savo kandidato.",Low
"Aferistai,risiminė paprastą žmogų vsio zakono.",Medium
"Kol jūsų partijoj bus vatnikas, sovietinių šmėklų garbintojas, visko kas okupantų primesta saugotojas ir gynėjas, demagogas vytenis povilas andriukaitis niekuomet už jūsų partiją nebalsuosim ir kitus agituosim nebalsuot. Turėkit ir didžiuokitės kremlium dvokenčiu kerplėša.",High
"Tikro komunizmo pavyzdys, visiems po lygiai. Mano mokykla. Pagarba.",Medium
Baisesnių už buvusius komunistus nebuvo ir nebus.,Medium
Isverstkuriai,Medium
Šlykšti boba,Low
"Ar jau socdemai uz nuoseda????😂😂😂😂😂visi isverstkuriai,pagyvenom geroves valstybej,gal uzteks,tegu ukraina renka gitara",Low
"as uz save kalbu,gal tu ukrope,kad troksti sito pilypo is kanapiu???",Medium
Avinai yra avinai i tas pačios greblius.,Low
"Ot idijotai, toliau nori likt valdzioje ir krautis turtus sau ir savo artimiesiems is zmoniu sunkaus darbo, mokesciai mokesciai ir dar karta mokesciai, bli@t sau algas pasikele kiek tik norejo, verskim juos velniop ir vieningai uz E.Vaitku.✌️",High
Nustokit juokinti žmonės konservantų pakalikai jūsų siekiai sutampa su šakos siekiais. Žmonės pažiūrėkit kaip jie balsavo sesijų metu,Medium
"Na prieš balsavimus socdemai koncervu klapčiukai ko jau ko pažadū tai negaili, kalnus pagatavi nuverst, tik po balsavimu nepraeina nė 5 minutės, kaip tai pamiršta savo įsipareigojimus.. Nes žino kad liaudi pagaidino 4 metams.. O laukia sekančiu rinkimu, ir galvoja koki niekala vėl suskiest..ir taip 34 metai išvien pasakos mažiem vaikučiams..",High
Šudmalia8 duhai,Low
Pideu padasisakimai.,Low
komunistai nori darbo kur nereikia dirbti,Medium
"o čia asilai , atmatos",Low
Legalus 🇱🇹 vagys ir visiems zbs🐒🌎🥇,Medium
"Šakalienę reikia į kalėjimą, o ne į parlamentus.",Low
Neduok dieve karo maro ir dviveidžiu social degradavusiu.,Medium
"Sysas dar acirado,pensininko gabalas🤣🤣",Low
Kriošenas į pensiją ir ant pečiaus!,Low
Šakaliene tau vieta ant ....pati žinai 😄😄už sugriautus žmoniu gyvenimus 😀😀,Low
Vaikgrobiai,Medium
Kandonai,Low
"Melagiai
. Nori prie lovio",Medium
Koks čia šiukšlynas,Low
Eikit jūs nahui,Low
Tauta nyksta o kraugeriai tie patys,Medium
Nukvake seniai gopsumui nera rybu,Medium
Eina jie visi velniop.,Low
Siuksles ypac sysas negiu i išverstaskuri ziuret net,Medium
Komuniagos raudonieji.,Medium
I šiukšlyną suskius!!!,Low
"Visa svolaciu sutve , kur tik apie lovius ir sukasi ,
Nebalsuokim nei uz viena 🤣🤣🤣",Medium
Nu jau į ta sene blį🐷 neina ziuret👿 pri$$oko prie lovo priess 15m kaip 🐷 Prie pamazgų…,High
"Bolševikai sugrįžta , baisu >",Medium
"Fui! Ypač vaikų iš šeimų grobikė, dabar - ""karo ekspertė"" Dovilė Šakalienė ir Julius Sabatauskas. Rinksit socdemą - gausit konservatniką, rinksit konservatniką - gausit socdemą... Jie visiškai suvienodėjo, tad... atsargiai!",Medium
"Žmonės!!! Nelipkit ant to paties grėblio!!! NĖ UŽ VIENĄ!!! Socdemų nebėra, jie sulipo su vagių, aferistų, šaika.",Medium
"Šakalienė jėga,kiti daugelis iš marksistinio raugo,omarksistai buvo nuvarę ,kad muiliuko neliko,vsio zakono.",High
"tai kAd iš tos senos gvardijos partijos,kaipir iš visų kitų kaip iš ožio pieno,jiem tai vsio zakono.pirmyn už skurdą ir neviltį.",Low
"Kam pagrindinę bebrę nuretušavot taip, lyg ji būtų jaunuolė 🤣😂 ? Juk ji sena moteris ir nesuprantu kodėl to reikėtų gėdytis",Low
Da nu nx,No
"Tas SYSAS debilas ....kad sako uky mazinti.
Ka mes valgysim.
Gydyti jy reik.",Medium
Ši partija tokie patys banditai kaip ir landzberginiai,Low
"Skėriai nepasotinami. Jie suės viską tik ražieną paliks po savimi.
Tai nedyvai, kad jiems negana.
Jie niekada nieko nedarė veltui, jokios paslaugos be palūkanų ar užstato.
Tuos pinigus patys valdo ir leidžia.
Tos pajamos kurias jūs taupot senatvės pensijai, jų seniai nėra.
Todėl sugalvotas gudras planas, kad negalėtum nusiimti jeigu prabusi, persigalvosi ir nori investuoti kitur, ten kur matai galimybę juos padauginti.
Tai tau neleidžia, tai padaryti.
Nes su politika sutarę ir įsakymu patvirtinę.
Jie jau supjaustė ir padidalino kiekvienas po dalį.
Argi čia nesigauna apgavystė.",High
Melagių melagė,Low
Panaikint visas partijas.,Medium
"Balsuokit debilai, ir dar priimkite rusų kalba kaip antrą",Medium
"Nekabink ponia makaronų,kai buvai valdžioj kitaip čiulbėjai,gana blinkevičiūtė komunizmo tezėm varo",Low
"Ką tu čia kliedi?Visi jūs vagys,įskaitant ir tave!",Low
Sprogdinti bankus ir bankomatus laikas,Medium
Mink nach....i k.......e,Medium
"Durex""as konkretus esi.",Low
"Labai jau apgailėtinai ir ligotas atrodai prietėli, man rodos nebevark imk šake i rankas ir i darba 😁",Low
Išgamos tai penkiaaukščius nugriaukit....... jūs ūrodaį fabrikus sugriaukit jūs išgamos legalus banditai ir palei upę iš kanalizacijos vamzdžių už milijonus achuienų skulpturų privirinkit,High
Už iškrypimą tikrai ne...,Medium
Gejaiai negali buti aukščiau už šeimos žmogu tai von sadomitai i pradara,Medium
Lauk vaivorikštinį iš Vilniaus!,Low
Kaleimas laukia tave,Low
Apgailėtina... 🤭 Tautos duobkasiai 🤑💜😋 ieško kvailių ⁉️ Jau nušlavėt..🙂 KORUPCIJĄ su trenksmu ...su MASIULIU⁉️....🤭😁,Medium
"Vagys ,jus i sibira reike vesti o ne uz jus balsuoti🤮🤮🤮",Medium
But stoveja 100 metu tas grozis jei ne sitas durnas simasius.,Low
Ar dar atsiras nevispročių kurie balsuotų už tokius asilus,Low
Įšiukšlyną.gandone,Low
O blet dar vienas uzmirstas apsitriedes didvyris,Low
Šveleris tau i snuki.....🤮,Low
Riskis obuolį nafik nenervaves. Ateis laikas bųsi uždarytas į cype,Low
"Tobula alkoholikės politinė programa. Gal kas turite daugiau tokio pobūdžio nuotraukų? Renku kolekciją parodyti, kokie ""šviesūs"" protai mus veda į šviesesnį rytojų.",High
Po kūdikių deginimo reklamos yra dar balsuojančių už laisvės partiją? Jūs ligoniai.,High
"Jei armonautai palieka valdančiąją daugumą, tada griūna visa neo bolševikinė dauguma. Manau to neleis TSKP, darys nuolaidas armonautams",Low
"Čia ne laisves partija o gestapas ,nieko nesiskiria nuo stalino represiju,",Medium
"Konclageriu partija,kur kankinami žmones.",Medium
Laisves partija landzbergiu marijonetes,Low
Tokiom žiūrkėm žiūrknuodžių nemaišytu.Nutrintos žąsys,Low
ISKRIPELIU PARTIJA KURI LAISVE ISIVAIZDOJA ISKREIPTA .SUPUVE ISVIDAUS KUO NORETI PIDAREI,Medium
aborto liekanu partija,Medium
"Si partija neverta tokio zodzio pavadinime,kaip LAISVE,siandien sitie isgamos LASVE sutripe jie jau politiniai lavonai ,ir ne tik jie.Fu perdaug smirda.",Medium
Liberalkonservai = catdog,Low
Agrastu armija,Low
Parazitų šaika,Low
"Kur jie dings be koncervu, tie narkošos ir gejai , ir koncervai be ju negali ,tai čia ju iškrypusi partneryste seime😉🤣🤣",Medium
Išsigimėliai iškrypėlių nepaleidžia...Koalicija gyvuos...🤣🤣🤣,Medium
"Kokia partija pideru, AR KAS BALSAVO UZ SITUS PEDIKUS????",Medium
"Oho, didieji vaikų kalintojai ir gyvenimų griovėjai turi nuomonę šia tema! Ach, kaip baisu Lietuvos ateičiai!!! 🦍 Laukiu nesulaukiu kada išmirs šie nevispročiai veltėdžiai, lošiantys savo vaikų ir tautos likimu.... Kad uždirbt pradėtų pirma, sau ir valstybei, o ne dykaduoniaudami visą eterį sau pasiglemždami, kaip paprasčiausias pragaras - dėl principo paminti žmogaus teises bei orumą 🤬🤬🤬",Critical
Utilizuoti juos visus😡,High
"IR KUO GREICIAU NES GEDA JUMS TURETU BUITI KIAULES
",Medium
"Kas tai ira kosmonautu ,šikniadaužiu ir narkomanu partija",Medium
"Iš ten jų su pagaliu neišvarysi,šimonkė ir sakė kad pasitrauks, bet nei viena kur...,nejuda iš ten, čia pabaisos, kur geriau ras...🙈",Medium
Narkomanus isvis velniop is seimo,Medium
Šituos kgb lauk ir sodint ant kuolo.,Critical
Isgamas🤣🤣🤣,Medium
"Chuj juos dar nuvysi nuo to lovio,vistiek kažką suregz sukos.",High
Narkomanu ir pide...tu sutve🤮,Medium
isdaviku vagiu draugija trys pereksles vistos ir nuklakes gaidukas,Medium
"
Keturi komunarai.
",Medium
"Lietuvos pati didžiausia problema, išsigimeliu ketvertukas",Medium
Kasiaka sutrauks ir toliau lietuvele egzurpuos bedieviai erodai !,Medium
Keturi Lietuvos tautos naikintojai trūksta dulkes,Medium
Karti juos visus,Critical
"Laisvės partija- tai narkomafija ir su jais kalbėtis neturėtų nei vienas normaliai mąstantis žmogus. O jei pridėti dar ir vaivorykštę, tai .............",Medium
Myžnių partija.,Low
Šaika fašistov,Low
I EP einant nereikia IQ testo atlikti? Ar for strong man no problem ir folijos kepuraite isgelbes IQ?,Low
"Valstiečiai pasiemė blogaja praktika iš socdemokratų... prisipaišė sau skaičiukų ir laimingi, liks iš Valstiečių partihos tas pats kas liko iš socialdemokratų, tai 7 bebrai ir darpartija su savo laikraščiu, Sekmės luzeriai.",Medium
"Romualda Mazuoliene, be galo daug ""gerų"" sprendimų(pateikta) : NT mokestis, automobilių mokestis, kur jie patys nesugeba apibrėžti kas tai yra - taršos(kažin ar žino kas tai yra) mokestis ar registracijos. O NT ar auto įsigijote prieš mokesčius ar po visų atskaitymų nuo gaunamų pajamų. O tie kas moka Sodrą, visą sąžiningai, ar gauna paslaugą? Ne velnio. Deja, bet nieko gero nepadarė, tik manipuliacijos ir intrigos. PROFANAI IR INTRIGANTAI. 🤮",Medium
Į šiukšlyną tą partiją.,Low
...uz suda virsesnis buna tik sudesnis...ar besmegeniai pasiilgo karabaso sutves?,Medium
"Nuostabūs žmonės tie mūsų lietuviai.Kuo daugiau valdžia ištaško pinigų savo poreikiams tenkinti ,tuo labiau juos myli.Valio m9sų begalviams.",Medium
Na jau tu karabasu tai nereik,Medium
Kosmonautai grįžta iš kosmoso,Low
"Reikia vėl atimt babos pasą, tiesiog gėda.",Low
Sakes lietuvai jei kolchoznikai karbauskio paradui komanduotu,Low
"Ten partija?Ten nuosava karbofos susluotu siuksliu banda,uzsiimanti tik populizmu ir naisiu caro pasturgalio laizymu.Jis ten alfa patinas...",Low
"Šlovė gandragalviams. Ura, tovariščiai.",Low
Idiotai,Low
Nu baisuokliai,Low
"Na, kalbant apie savigarbą ir reputaciją, tuomet pačiam Karbauskiui reikėtų pasvarstyti apie savižudybę 😃",High
"Pasvarstyk apie savo atsistatydinimą, kolūkieti",Medium
Na štai ir ryškėja kremliaus projektas!,Medium
"Šitie griauna šalį!
",Medium
"Kaimo japų, dalyvavusių apklausoje, nuomonė niekam nerūpi.",Medium
"vaje, tai konservatoriai per 4 metus su pusę, savo valdymo, jums taip nusikalto?... O jūsų Ramuniukas su socdemais per 23 savo valdymo metus taip šauniai ir teisingai dirbo klestėjo Lietuva? Tą norite vis pasakyti?
Tik kaip čia atsitiko, kad valdant tiems geručiams sovietikams, - viskas nyko, išnyko, nieko nebeliko... nei gerovės, jei miškų nei žmonių? Tik prie sovietinių ir ramoniukų keli milijonieriai ir vieni biedniokai beliko.
Gal nebekvailinkit žmonių. Dar norim gyventi savo gražioje šalyje.",Medium
Tai vat ką daro mūsų šaknys! Bet neverksiu! Tikiu jaunimu! Jie kolchozo neprileis!,Medium
Tai gal geriau gandragalviai nei šitas vaivorykštės balaganas,Low
Nesibaigiančios kolchozo pergalės! :))),Low
Kumečiai visada lenkia nugaras žemvaldžiams 🙂,Low
"Abu korumpoti ,vagys ,naxui",Medium
Kad konservai komunistai tai jau akivaizdziau negali būti .bet jie su tikraisiais komunegomis nesugyvena,Medium
",,Naisių balsas,,su Karbofosu.",Low
"Kai būsite valdžioje (kolxoznikai) - galėsite ""interpeliuoti"" , o dabar , pakvaksėjote , ir atgal į kudrą . Bumerango dėsnis .",Low
Ko gimbate prie ministro susiturėkite žalieji.raudonieji,Low
Dulky uzsikresk tu covidu,High
Nebeaišku......iš seimo išėjo ir daro cirkus.........jaučia kad gali likt tik jis Širinskienė ir naisių gandras todėl draskos.......,Low
Šimonytę teist už mirtis nuo skiepo.,High
"Caraičiui Ramūniukui padai svyla, kad negaus milijoninių kompensacijų kurias pats sau pasidarė būdamas valdžioje, tai dabar putojasi..😄😄",High
Vajetau! Napoleoniukas nori bėgti iš Naisių salos.,Low
Nu ant kiek debilu reikia būt... neįtikėtina... nebesveika tiesiog...,Low
Dvasios ubagai tie valstiečiai...🙈🤮,Low
Kas galėtų šitą idiotą užčiaupti?🤑,Medium
Verskit iš posto ta auka,Low
Maskvos atstovas trašų klausimais sujudo? 🤮,Medium
"Klounas pragydo,išlysti iš šešėlio bando..!!!",Low
"Aferų kurėjas,kiršintojas",Medium
Ką tas sukčius čia peza geriau iš vis nebebalsuoti,Medium
"Tu į SAVO ""POLITIKOS STANDARTĄ"",pasižiūrėk KOLCHOZINIS IDIOTE!",High
Senukui smegenys suskystėjo.,Low
Pinokis apie plintusą 🙂,Low
Asilo berete,Low
"Geriau nukalti,ner kuo šeria dikaduonius.",Critical
"Gandonas,kada ŝitas veikėjas sės už grotu už nusikaltimus Valstybei 🤮",High
Iš akių grynas aferistas ir melagis,Medium
KARBOVSKIS LIETUVOS PRIEŠAS IR KENKĖJAS.RAUDONAS VATNYKAS!,Medium
"Tavo bybis pats silpniausias visoj Lietuvos parlamentarizmo istorijoi, Ramai.",Medium
pasake ruZZiskas trasas vezantis pirmininko sunus....,Low
Vatinukas kaimietukas pyksta labai. nepatinka anam rusofobija TS LK. norėtų pas putka na forum svobi v piter padjehat. 🙁 vargšiukas,High
Nu kietas kolhoznikas 🫢🤣🤣🤣,Low
Ramunai eik naxui,Low
"Tai parsidavusiu, NEkompetitingu degradų šaika, naikinanti Lietuva, jų vieta už grotų iki gyvos galvos",High
Runkelis..🥸,Low
Ir prabudo politinis lavonas!!!!,Low
Naisiu kalxoznikas pizdabolas.,Low
Karabasas🤣🤣🤣,Low
Nejuokink karabasai🤣🤣🤣🤣,Low
Tūliko šepetys dar siautėja,Low
bare priliuobe uzkabena lietuvi i pasipyle ukrainietiska burokyne ne unt to usoka pats kalts.,Medium
"Tai pylna tu vatnykų , Lietuvoje",Medium
Ne visi nori mirti už korumpuotus banderu oligarchus.,Medium
Nauseda pauostė zelionos bezdalą,Medium
Bukagalviai🤣🤣,Low
Idomu ūž ka chocholui Lietuvos ordinas🤔,Low
Кокая любовь.Еще в задницу надо было поцеловать.,Medium
Amputuoti visas galūnes,Critical
Dvasios ubagai.,Low
Kur vokiečiai naudos ta kaxolu kalba💩💩💩,Medium
"Kurvos isdavikai , administratoriai, sios teritorijos, atsakykite i klausima, tai tie ukrai kurios cia isileidote ir taip mylavote, yra isdavikai ar dezertyrai ? Nekencius tu ukru, kur privezete i litukrija, bet jei imsit juos gaudyti, tai padesiu jiems.",Critical
"Juos reikia po karo šaudyti vietoje be jokio teismo, kaip policajus Antrajame pasauliniame. Deja, apsišikėlis Putinas to neleis, juos nuteis porai trejetui metelių ir paleis...",Critical
Jus kurvos fasistai NETURIT TEISES gyventi. Mirtis JevroPiderSojusui ir fasistinei Amerikai.,Critical
Jus kurvos fasistai NETURIT TEISES gyventi. Mirtis JevroPiderSojusui ir fasistinei Amerikai.,Critical
"cia tas pats liecia ir musu valdzios daunus kurie pindosais tiki kaip davatkos jezum kristum. gudrasikniai xaxolai patikejo pindosais kad jie rusa gali amerikonu isgasdinti. ir turim rezultata kuris bus kaip istorine pamoka ir aksioma ""jei kelsi ranka pries rusa pats greiciau istiesi kojas""",High
"Nesibaigė. Jokioje šalyje karo metu rinkimai nevyksta. Todėl Rusija gali pyzdelinti ką nori, bet net pačioje Rusijoje tokia pati tvarka nustatyta įstatymais... Zelią reikia likviduoti, fašistinę Ukrainą sudoroti neatsižvelgiant į visokias išgalvotas pačios Rusijos raudonas linijas, ant kurių seniai bybį dėjo Vakarai, tik Rusijos valdžia pati sau braižo linijas, kurių pati ir neperžengia... Vadinasi, bailiai ir išdavikai sėdi Rusijoje ir su toka valdžia Ukrainos nesudoroti...",Critical
"Na matot litukrija gruzija pravardziavo sakartvelu, del gruzinai ir pasiunte litvinus paskui rusu laiva (nachuj)",High
"Asile, siųs ir neklaus, ar nacikas ar ne. Ne visi kariuomenėje necikai.",Medium
"Nebijokit apsisikusiu rusu. Jie jau 32 metus vis grasina o nieko nedaro. Taigi. Jeigu galetu tai ir voztu Vakarams kaip reikiant, Rusija valdo Washingtono bankininkai zydeliai, o Putina laiko kaip ciucela durnus rusus bovyti.. Labusai, nesulauksit jokio isgelbejimo is Rusijos oligarchu. Jeigu ir ateis i Labusyna tai tiktai spalvas pakeisit, o kaip buvot vergais taip ir jais liksit ant amziu.",Medium
"Gerai sneka demofroditas. Lietuva privalo siusti kuo daugiau debilu kariauti Okrainoje. Mums reikia apsivalyti nuo menkavertes biologines mases. Negi jus galvojat kad Dievas yra durnas kaip ir jus kad leidzia padarams zudyti vienas kita ir kuo didesniais kiekiais. Dievas sutvere pasauli harmoniska ir subalansuota. Jeigu priviso durniu labai jau kritine mase - prasom pakariauti. Kadangi biologine mase dauginasiu kaip pasiute tai ir karo zudymo irankiai privalo buti efektyvus, siuolaikiski pagal padaru issivystymo lygi ...Tai tiek truputelis apie pasaulio saranga .",Critical
"Gerai sneka demofroditas. Lietuva privalo siusti kuo daugiau debilu kariauti Okrainoje. Mums reikia apsivalyti nuo menkavertes biologines mases. Negi jus galvojat kad Dievas yra durnas kaip ir jus kad leidzia padarams zudyti vienas kita ir kuo didesniais kiekiais. Dievas sutvere pasauli harmoniska ir subalansuota. Jeigu priviso durniu labai jau kritine mase - prasom pakariauti. Kadangi biologine mase dauginasiu kaip pasiute tai ir karo zudymo irankiai privalo buti efektyvus, siuolaikiski pagal padaru issivystymo lygi ...Tai tiek truputelis apie pasaulio saranga .",Critical
Ukrai dar durnesni.,Low
Ubagai remia vagis.,Medium
"Lietuviai svariai prisidės prie ukrų pergalės: apie 30% susimažins pensijas, 50% socialines paslaugas, 40% visi valstybės pirkimai, dar papildomi rezervai...

Mielieji, nepavarkim būti okraina.",High
"bernelis primyztom kelnem sugalvojo kara pazaisti bet va pinigu nieks neduoda. tai iesko durniu kaip labusu loxus vel sudinom klumpem apauti o tokie kaip pats gudruoliai su muziku saibom susirinke visa giminele byrkas ir pizes isverte prie siltu juru vartysis. gi niekur toli eiti nereikia pas xaxolus tokiu pavyzdziu by.biu neversi kai muzikai krauja lieja ir guldo galvas o supi.sti ""patriotai"" uzsienyje byr.kas augina. kumeles subine lai buciuoja tokie by.biagalviai gudruoliai ten ir atsakyma gaus pagal pageidavimus...",Critical
"Apšviekite, prašau mane, neduokite kvaileliu numirti, - šitas klounas irgi norėtų su rusais kariauti iki paskutinio lietuvio, kaip kad Zelia Ukrainoje kariauja iki paskutinio ukrainco.. ? Jei ne, tai apie ką šitos blevyzgos '""reikia ginkluotis"" ir nesibaigiantis lojimas į Rusijos pusę, tikintis rusus išprovokuoti.. .?",High
kai nebandytu ju seimininkas is uz balos juos remti ir palaikyti. pagal pindosu komanda sumazino sauktiniu amziu iki 25 bet tai tik pati pradzia. pindosai jau aiskiai pasake kad visi ukrai kas sautuva pakelia turi eiti ginti pindosu interesu ir okrainoj supirktu zemiu ir turtu,Medium
Lietuvos gyventojai nori kad Lietuvos fasistai kuo greiciau butu Rusijos pakarti. Zmones juos zino ir pades Rusijai juos utilizuoti. Lietuvos fasistines isgamos kartu su Europos kolegomis TURI BUTI ISZUDYTI. Visi iki vieno. Geros sirdies Stalino klaidu NEKARTOSIM.,Critical
"Nieko neperku, kas ukriška, ypač maisto. Net jų skrudinimo kavos pupelių ""Mere"" pardėje, vien todėl, kad tai xaxoliška prekė. Turiu kažkada pirktus xaxliandskus kaliošus, tai specialiai apsiaves einu pašliūrinėti po purvyną, šūdyną, srutyną (gyvenu kaime), po to žiūriu į juos ir klausiu: nu, zelenski, zajabys buvo?",High
"nesusireikšmink, tvartopiteke :))) - yra ir gerokai svarbesnių reikalų, nei įrodinėjimas beretolochams seniai visiems žinomų dalykų :) - jei įdomu(kuo stipriai abejoju), pasiknisk pats po archyvus , ir dar ne to sužinosi apie visus ukrošizopinius lansbergidės draugus :))) - galiu nurodyti kryptį knyslės orientacijai - tai blogerio šarij kanalas - pradžiai ! - o ten jau ir pats vamzdys prisiūlys visokio naudingo materiolo šizolitchūaniško veršio savišvietai :)))))",High
"Sitas veikejas is Rados ,kai buvo sudeginti gyvi zmones Profsajungu Rumuose Odesoje , tai jis kalbino viena zuvusi , apanglejusi zmogu , tik nezinia, tai buvo moteris , ar vyras. Vienu zodziu Ukrainos nacikas. Youtubeje buvo video. Buvo ziauru , nes zmones gelbejosi is ugnies sokinedami pro langus is degancio pastato , tai nukritusius zmones dabaiginejo kitais irankiais. Vienu zodziu ne jau tokie gerieciai, kai kurie Ukrainos gyventojai, nes i ju protelius isimaise nacizmas. Sukirsintos dvi slavu tautos ir tiek ziniu. Stop visam blogiui kuris vyksta siuo metu pasaulyje. Nesantaikos tarp valstybiu , tautu , zmoniu yra blogis. Stop karams.",Critical
"Sitas veikejas is Rados ,kai buvo sudeginti gyvi zmones Profsajungu Rumuose Odesoje , tai jis kalbino viena zuvusi , apanglejusi zmogu , tik nezinia, tai buvo moteris , ar vyras. Vienu zodziu Ukrainos nacikas. Youtubeje buvo video. Buvo ziauru , nes zmones gelbejosi is ugnies sokinedami pro langus is degancio pastato , tai nukritusius zmones dabaiginejo kitais irankiais. Vienu zodziu ne jau tokie gerieciai, kai kurie Ukrainos gyventojai, nes i ju protelius isimaise nacizmas. Sukirsintos dvi slavu tautos ir tiek ziniu. Stop visam blogiui kuris vyksta siuo metu pasaulyje. Nesantaikos tarp valstybiu , tautu , zmoniu yra blogis. Stop karams.",Critical
"atvilko i seima ukronacika,galu varoma sudo gabala,lyg ten dar sudo ir galu varomu per mazai butu",High
"tas ukras kazkada draskesi uz Janukoviciu . rekavo nuo scenos georgijaus juostele prisiseges . toks pat ,kaip ir musu isnaros",High
"Goncerenka joks ne skerdikas ,pirmieji saudyti i ukrainiecius pradejo gnydos koloradai.Veliau subege i pastato virsu is ten i apacia pradejo metyti zmonems ant galvu molotovo kokteilius, bet gavosi taip , kad uzsiliepsnojo pastato zemutine dalis ir per ugni nebegalejo iseiti, patys save padege jofani koloradai.Po to patiems reikejo sokineti per langus arba nuo stogo. Visi nufilmuoti kadrai yra internete.",High
ukrainos. A kokie mūsų ablauxai aną ablauxą iš ukrainos įleido...ir klodėl tas ukrų ablauxas nekariauja...,High
"... nuotraukoje ukrų nacionalinis didvyris - Alejsejus Gončiarenko... tas pats, kuris dalyvavo Odesoje deginant žmones profsąjungų rūmuose... tas pats, kuris Strasbūre reikalavo pašalinti oficialią Rusijos delegaciją... neveltui sako: - pasakyk, kas tavo draugas, aš pasakysiu, kas tu... nejau nematot, kokie asabos bando nuspręsti Lietuvos likimą ??? blaivykitės...",Critical
ka jis ruosiasi atstatineti jeigu po 20d zelebobas bus eilinis kaltinamas zmoniu genocidu,High
"šitas psichas,už ingridas..ir arklius.",High
"Bet lansbergofasiste niekas nesiskiria, gaila teks toliau ciulpt seimininkui tik",High
"ukrainiečiams, kad jie pagaliau suprastų zelenskio niekšybes? Čia tik gražiai parašiau apie tą zelę žudiką",High
"Zelenskis pagal Konstituciją nebėra Ukrainos prezidentas. O nuo gegužės 21 d., po inauguracijos dienos, taps valdžios uzurpatoriumi. Turi būti surengti nauji rinkimai, tačiau atsižvelgiant į tai, kad jie pažeidžia konstituciją, taip pat kyla klausimas, ar jam bus suteikta balsavimo teisė.",High
"Kaip pamatau sita ukropiska vistgaidi, tai net nervas paima!

",High
"Kaip pamatau sita ukropiska vistgaidi, tai net nervas paima!

",Medium
visiškai šviežia akualija - apie ukrošizopinio gabrieliaus/kiaulino vizitą pas indusus (seniausius labusų gimines pagal sanskrito liniją ) :)))))))))) ---https://youtu.be/snQVTvbpwRI?si=rmK8DyxMhOoVgESo,Medium
visiškai šviežia akualija - apie ukrošizopinio gabrieliaus/kiaulino vizitą pas indusus (seniausius labusų gimines pagal sanskrito liniją ) :)))))))))) ---https://youtu.be/snQVTvbpwRI?si=rmK8DyxMhOoVgESo,Medium
dar vienas puikus refleksonas apie urinopinius ir pindosinius šizoidus ---- https://youtu.be/o44jp9iTcZI?si=3h_PAG9jCjPwZnBe,Medium
l. neblogas vidosikas frankiškų varliamakronų tema --- https://youtu.be/MK6WaOGU6iE?si=rlmTlZCCl81FcMyJ,Medium
"tas ""bojepripasas"" , jei maksimalioj versijoj, bet kokią pasauly egzistuojančią ""postroikę"" paverčia statybinio laužo sąvartynu per kelias sekundes, - tik dulkės nusėda labai negreit, - bet ties ta problema irgi intensyviai dirbama ..., - o jei rimtai, tai, panašu, kad rusijai nusibodo drausminti ukrošizoidus ir jų sutenerius tik dešinės rankos smilium :))))",Medium
"nuomonė apie urinopą ir ne tik, iš pindostano --- https://youtu.be/aj2v2G6M7DE?si=5ycUol_Zu1bcMHb2",Low
"Kijevo režimo vadeiva iš Hitlerio gali pasimokyti, kaip anksčiau laiko nesulaukti savo kapituliacijos dienos. Gal vėl ruošiasi į Mėnulį, kad taip brutaliai meluoja?",Medium
Kiaulės ėda ukrainiečių karių lavonus. Свиньи едят трупы укронацистов. Pigs eat the corpses of ukronazis. P.S. Nesišlykštėkite! Iš Amerikos ateina nauja mada ėsti žmogieną! Uraaaaaaaaa!,Low
Pasibaigė mėsa faršui.,Low
Ukras pūva po velėna – taip po 1000 kas dieną! Vietoj žemių savų – gavo mirtį dovanų !!!,High
